Run,Rmse,Mae
xgboost_simpleIndex_Kmeans_clustering,0.00028269896242756,0.00015962304028702715
randomforest_simpleIndex_Kmeans_clustering,65.7978041646903,49.599845804988668
linear_simpleIndex_Kmeans_clustering,133.61252513943143,102.93641225904402
xgboost_simpleIndex_None_clustering,496.97935642634997,376.54740193318315
randomforest_simpleIndex_None_clustering,533.4613207591156,381.25095495495486
linear_simpleIndex_None_clustering,456.00612253698915,375.41758646400524
xgboost_frequency_Kmeans_clustering,0.00031406257585275474,0.00019293110488151924
randomforest_frequency_Kmeans_clustering,73.71538048169869,55.869700680272103
linear_frequency_Kmeans_clustering,110.28665672261727,80.829489725310324
xgboost_frequency_None_clustering,597.768907809451,363.56493070218619
randomforest_frequency_None_clustering,420.99887314705853,328.27781981981985
linear_frequency_None_clustering,412.45997841548103,312.54315075067569
xgboost_indexLatestPayload_Kmeans_clustering,0.0002630979049299299,0.0001480176648766872
randomforest_indexLatestPayload_Kmeans_clustering,68.66122455932198,52.678895691609974
linear_indexLatestPayload_Kmeans_clustering,105.60979684897346,80.112221018462009
xgboost_indexLatestPayload_None_clustering,558.7522617563018,403.59794927740245
randomforest_indexLatestPayload_None_clustering,515.8878103917893,383.37261261261256
linear_indexLatestPayload_None_clustering,380.4014151974372,305.19513745719223
xgboost_boolean_Kmeans_clustering,43.844212017018265,11.563820464582564
randomforest_boolean_Kmeans_clustering,81.92513819533885,59.793504610733173
linear_boolean_Kmeans_clustering,92.60865604809143,65.636446675029404
xgboost_boolean_None_clustering,591.183313357374,445.19576717342341
randomforest_boolean_None_clustering,481.13112235307426,363.15603983986483
linear_boolean_None_clustering,592.5184871031129,427.45762094655254
xgboost_complexIndex_Kmeans_clustering,0.00025092234045320474,0.00013794163469060244
randomforest_complexIndex_Kmeans_clustering,62.276773613181206,51.08854421768708
linear_complexIndex_Kmeans_clustering,49.444091605569675,30.770090455180803
xgboost_complexIndex_None_clustering,438.7605191279508,299.11140601539034
randomforest_complexIndex_None_clustering,453.40884636644915,353.40811711711706
linear_complexIndex_None_clustering,747.9626213990373,582.34750106429351
